RK,PLAYER NAME,PROJ. FPTS
1,CeeDee Lamb,19.1
2,Nico Collins,17.7
3,Ja'Marr Chase,17.4
4,Justin Jefferson,17.2
5,DK Metcalf,16.8
6,Jayden Reed,16.1
7,Chris Godwin,16
8,Marvin Harrison Jr.,15.7
9,Diontae Johnson,15.5
10,Deebo Samuel Sr.,15.5
11,Drake London,14.8
12,Stefon Diggs,14.5
13,Chris Olave,14.3
14,Garrett Wilson,14.1
15,Mike Evans,14
16,Michael Pittman Jr.,13.6
17,Amari Cooper,13.5
18,George Pickens,13.5
19,Brandon Aiyuk,13.5
20,Zay Flowers,13.4
21,DJ Moore,13.4
22,Terry McLaurin,13.3
23,Brian Thomas Jr.,13.2
24,Jaxon Smith-Njigba,13.1
25,Tee Higgins,13
26,Dontayvion Wicks,13
27,Tyreek Hill,12.6
28,Christian Kirk,12.6
29,Wan'Dale Robinson,12.1
30,Xavier Worthy,11.8
31,Rashid Shaheed,11.4
32,Courtland Sutton,11.4
33,Jakobi Meyers,11.3
34,Josh Downs,11.2
35,Jerry Jeudy,11
36,Darnell Mooney,11
37,Keenan Allen,10.9
38,Xavier Legette,10.9
39,Tank Dell,10.5
40,Tutu Atwell,10.5
41,Tyler Lockett,10.4
42,Jordan Addison,10.4
43,Jordan Whittington,10.3
44,Jauan Jennings,10.3
45,Rome Odunze,10.2
46,Jaylen Waddle,10.2
47,Tre Tucker,10.1
48,Michael Wilson,9.9
49,Allen Lazard,9.5
50,Jalen Tolbert,9.4
51,Keon Coleman,9.2
52,Ray-Ray McCloud III,8.9
53,Demarcus Robinson,8.9
54,Greg Dortch,8.8
55,Mike Williams,8.5
56,Gabe Davis,8.5
57,Andrei Iosivas,7.7
58,Rashod Bateman,7.6
59,Curtis Samuel,7.6
60,DeMario Douglas,7.6
61,Ja'Lynn Polk,7.5
62,Alec Pierce,7.3
63,Darius Slayton,7.3
64,Justin Watson,6.8
65,Josh Reynolds,6.7
66,Jonathan Mingo,6.5
67,Elijah Moore,6.3
68,Sterling Shepard,6.1
69,Luke McCaffrey,5.9
70,Jalen Nailor,5.8
71,JuJu Smith-Schuster,5.7
72,Olamide Zaccheaus,5.6
73,Bo Melton,5.6
74,Calvin Austin III,5.4
75,Mack Hollins,5.4
76,Lil'Jordan Humphrey,5.4
77,Tyler Johnson,5.4
78,K.J. Osborn,5.3
79,Van Jefferson,5.2
80,KaVontae Turpin,5.1
81,Adonai Mitchell,5
82,Nelson Agholor,5
83,Jalin Hyatt,5
84,DJ Turner,4.5
85,Jalen Brooks,4.5
86,Mason Tipton,4.5
87,Dyami Brown,4
88,Troy Franklin,3.9
89,Brandon Powell,3.5
90,Marquez Valdes-Scantling,3.4
91,Skyy Moore,2.6
92,Robert Woods,2.6
93,Malik Heath,2.4
94,Marvin Mims Jr.,2.4
95,Mecole Hardman Jr.,2.4
96,Cedric Tillman,2.3
97,Xavier Gipson,2.2
98,Parker Washington,2
99,Jake Bobo,1.9
100,Kameron Johnson,1.9
101,Braxton Berrios,1.9
102,Tyquan Thornton,1.5
103,David Moore,1.5
104,Jermaine Burton,1.4
105,Malik Washington,1.3
106,Cedrick Wilson Jr.,1.2
107,Kayshon Boutte,1.2
108,DeAndre Carter,1.2
109,Scotty Miller,1.2
110,Laviska Shenault Jr.,1.2
111,Devin Duvernay,1.1
112,Ashton Dulin,1.1
113,Xavier Hutchinson,1.1
114,Trent Sherfield Sr.,1
115,Kendrick Bourne,1
116,Bryce Ford-Wheaton,1
117,Ihmir Smith-Marsette,0.9
118,KhaDarel Hodge,0.9
119,Bub Means,0.6
120,Jalen Coker,0.6
121,Trenton Irwin,0.5
122,Chris Moore,0.3
123,Tylan Wallace,0.3
124,Jacob Cowing,0.3
125,Charlie Jones,0.3
126,Christian Watson,0.2
127,Malachi Corley,0.2
128,James Proche II,0.1
129,Chris Conley,0.1
130,Ryan Flournoy,0.1
131,Odell Beckham Jr.,0.1
132,Dee Eskridge,0.1
133,Erik Ezukanma,0
134,Zach Pascal,0
135,Devontez Walker,0
136,Deonte Harty,0
137,Tim Jones,0
138,Javon Baker,0
139,Tyler Scott,0
140,Roman Wilson,0
141,Cody Thompson,0
142,Isaiah Hodgins,0
143,John Metchie III,0
144,Devaughn Vele,0
145,Steven Sims Jr.,0
146,Dareke Young,0
147,Ronnie Bell,0
148,Casey Washington,0
149,Irvin Charles,0
150,Xavier Smith,0
151,A.T. Perry,0
152,Jamari Thrash,0
153,Xavier Weaver,0
154,Velus Jones Jr.,0
155,Trishton Jackson,0
